participant_id,query_id,MAL,QL_char,QL_tokens,task_family,info_source_type,requires_personal_history,requires_aggregation,requires_summarization,requires_generation,temporal_reference_type,time_urgency_level,stakes_level,modality_primary,domain_category,query_goal_specificity,expected_answer_length,interaction_pattern,has_comparative_phrase,has_temporal_diff_phrase,time_window_length,personalization_intensity,needs_location_context,needs_calendar_context,needs_communication_logs,needs_media_history,needs_financial_logs,needs_health_data,recommendation_type,requires_cross_app_integration,requires_similarity_search,requires_visual_understanding,requires_list_dedup_grouping,explicit_output_structure,urgency_phrase_present,planning_horizon,social_context_strength,contains_monetary_amount,monetary_context_type,device_context_implied,cognitive_load_estimate,novelty_seeking,habit_analysis,food_context_type,output_requires_multimedia_creation,output_requires_behavior_change_guidance,embedding_cluster_id,embedding_axis_complexity,embedding_axis_urgency
P012,2,51.492,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,health_fitness,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P020,2,14.547,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,health_fitness,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P023,2,10.277,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,health_fitness,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P034,2,6.574,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,health_fitness,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P041,2,20.185,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,health_fitness,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P053,2,21.239,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,health_fitness,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P055,2,39.997,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,health_fitness,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P067,2,7.412,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,health_fitness,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P073,2,3.686,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,health_fitness,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P081,2,6.391,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,health_fitness,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P007,3,14.69,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,health_fitness,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P018,3,47.663,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,health_fitness,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P024,3,22.54,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,health_fitness,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P035,3,21.707,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,health_fitness,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P044,3,27.24,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,health_fitness,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P046,3,52.024,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,health_fitness,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P055,3,29.129,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,health_fitness,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P068,3,6.051,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,health_fitness,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P074,3,46.169,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,health_fitness,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P080,3,1.763,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,health_fitness,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P009,4,7.598,17,5,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,travel_leisure,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.2,0.0
P014,4,4.236,17,5,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,travel_leisure,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.2,0.0
P027,4,6.633,17,5,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,travel_leisure,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.2,0.0
P031,4,7.756,17,5,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,travel_leisure,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.2,0.0
P044,4,28.414,17,5,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,travel_leisure,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.2,0.0
P047,4,6.541,17,5,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,travel_leisure,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.2,0.0
P061,4,3.803,17,5,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,travel_leisure,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.2,0.0
P069,4,3.004,17,5,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,travel_leisure,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.2,0.0
P077,4,4.07,17,5,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,travel_leisure,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.2,0.0
P080,4,2.581,17,5,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,travel_leisure,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.2,0.0
P010,5,32.225,21,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P020,5,11.892,21,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P028,5,23.944,21,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P036,5,46.564,21,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P044,5,51.601,21,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P053,5,19.591,21,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P055,5,14.123,21,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P065,5,25.816,21,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P076,5,10.272,21,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P084,5,5.485,21,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P006,6,11.852,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P014,6,4.927,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P022,6,16.18,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P031,6,10.578,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P040,6,17.153,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P050,6,19.326,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P055,6,16.595,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P064,6,4.436,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P077,6,10.03,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P080,6,0.608,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P013,7,30.584,21,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P015,7,9.278,21,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P025,7,18.625,21,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P032,7,4.17,21,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P040,7,26.407,21,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P046,7,70.834,21,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P056,7,10.196,21,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P065,7,15.488,21,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P075,7,10.278,21,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P084,7,8.472,21,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P011,8,34.334,19,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P019,8,17.108,19,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P022,8,11.785,19,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P030,8,11.12,19,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P043,8,21.681,19,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P051,8,4.252,19,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P057,8,11.102,19,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P067,8,10.501,19,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P075,8,16.378,19,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P084,8,7.748,19,6,retrieve_item,personal_content,1,0,0,0,past_range,0,2,photo_image,finance,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,1,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
P010,9,23.628,34,8,retrieve_item,media_history,1,0,0,0,past_range,0,0,video,media_entertainment,2,0,one_shot_lookup,0,0,1,2,0,0,0,1,0,0,other,0,0,0,0,simple_fact,0,0,2,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.4,0.0
P014,9,7.048,34,8,retrieve_item,media_history,1,0,0,0,past_range,0,0,video,media_entertainment,2,0,one_shot_lookup,0,0,1,2,0,0,0,1,0,0,other,0,0,0,0,simple_fact,0,0,2,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.4,0.0
P026,9,14.225,34,8,retrieve_item,media_history,1,0,0,0,past_range,0,0,video,media_entertainment,2,0,one_shot_lookup,0,0,1,2,0,0,0,1,0,0,other,0,0,0,0,simple_fact,0,0,2,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.4,0.0
P035,9,26.327,34,8,retrieve_item,media_history,1,0,0,0,past_range,0,0,video,media_entertainment,2,0,one_shot_lookup,0,0,1,2,0,0,0,1,0,0,other,0,0,0,0,simple_fact,0,0,2,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.4,0.0
P040,9,22.537,34,8,retrieve_item,media_history,1,0,0,0,past_range,0,0,video,media_entertainment,2,0,one_shot_lookup,0,0,1,2,0,0,0,1,0,0,other,0,0,0,0,simple_fact,0,0,2,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.4,0.0
P047,9,5.143,34,8,retrieve_item,media_history,1,0,0,0,past_range,0,0,video,media_entertainment,2,0,one_shot_lookup,0,0,1,2,0,0,0,1,0,0,other,0,0,0,0,simple_fact,0,0,2,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.4,0.0
P054,9,9.853,34,8,retrieve_item,media_history,1,0,0,0,past_range,0,0,video,media_entertainment,2,0,one_shot_lookup,0,0,1,2,0,0,0,1,0,0,other,0,0,0,0,simple_fact,0,0,2,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.4,0.0
